Order,Historic Name,Modern Name,State/Province/Colony,State Province Modern,Country Historic,Country Modern,lat_from,long_from,adj_long_from,lat_to,long_to,adj_long_to
1,New York,New York,New York,New York,USA,USA,40.7127753,-74.0059728,285.9940272,41.49932,-81.6943605,278.3056395
2,Cleveland,Cleveland,Ohio,Ohio,USA,USA,41.49932,-81.6943605,278.3056395,46.4977115,-84.3475876,275.6524124
3,Sault Ste. Marie,Sault Ste. Marie,Michigan,Michigan,USA,USA,46.4977115,-84.3475876,275.6524124,45.8683129,-84.6275658,275.3724342
4,Mackinac,Mackinac,Michigan,Michigan,USA,USA,45.8683129,-84.6275658,275.3724342,45.3733428,-84.9553296,275.0446704
5,Petoskey,Petoskey,Michigan,Michigan,USA,USA,45.3733428,-84.9553296,275.0446704,45.8683129,-84.6275658,275.3724342
6,Mackinac,Mackinac,Michigan,Michigan,USA,USA,45.8683129,-84.6275658,275.3724342,46.7866719,-92.1004852,267.8995148
7,Duluth,Duluth,Minnesota,Minnesota,USA,USA,46.7866719,-92.1004852,267.8995148,44.977753,-93.2650108,266.7349892
8,Minneapolis,Minneapolis,Minnesota,Minnesota,USA,USA,44.977753,-93.2650108,266.7349892,44.9537029,-93.0899578,266.9100422
9,St. Paul,St. Paul,Minnesota,Minnesota,USA,USA,44.9537029,-93.0899578,266.9100422,49.8954221,-97.1385145,262.8614855
10,Winnipeg,Winnipeg,Manitoba,Manitoba,Canada,Canada,49.8954221,-97.1385145,262.8614855,47.7745617,-96.6093911,263.3906089
11,Crookston,Crookston,Minnesota,Minnesota,USA,USA,47.7745617,-96.6093911,263.3906089,47.5052849,-111.3007715,248.6992285
12,Great Falls,Great Falls,Montana,Montana,USA,USA,47.5052849,-111.3007715,248.6992285,46.0038232,-112.5347776,247.4652224
13,Butte,Butte,Montana,Montana,USA,USA,46.0038232,-112.5347776,247.4652224,46.1262998,-112.9478359,247.0521641
14,Anaconda,Anaconda,Montana,Montana,USA,USA,46.1262998,-112.9478359,247.0521641,46.5891452,-112.0391057,247.9608943
15,Helena,Helena,Montana,Montana,USA,USA,46.5891452,-112.0391057,247.9608943,46.8721284,-113.9940314,246.0059686
16,Missoula,Missoula,Montana,Montana,USA,USA,46.8721284,-113.9940314,246.0059686,47.6587802,-117.4260466,242.5739534
17,Spokane,Spokane,Washington,Washington,USA,USA,47.6587802,-117.4260466,242.5739534,47.0378741,-122.9006951,237.0993049
18,Olympia,Olympia,Washington,Washington,USA,USA,47.0378741,-122.9006951,237.0993049,47.2528768,-122.4442906,237.5557094
